name,confidence,location,face_number,best_match_index
Leon Brillouin,0.583732295674575,"[853, 2674, 942, 2584]",1,4
Wolfgang Pauli,0.5915432002985934,"[863, 2166, 952, 2076]",2,39
Hendrik Anthony Kramers,0.5584786535752724,"[1047, 1142, 1155, 1035]",3,1
Unknown,0.0,"[1052, 225, 1141, 135]",4,-1
Owen Richardson,0.5434821474237184,"[1191, 2779, 1298, 2671]",5,29
Unknown,0.0,"[1072, 2037, 1161, 1947]",6,-1
Unknown,0.0,"[1167, 1286, 1274, 1178]",7,-1
Unknown,0.0,"[763, 2534, 853, 2445]",8,-1
Max Born,0.5371139087054653,"[1071, 2373, 1179, 2265]",9,11
Niels Bohr,0.5540240286387548,"[1083, 2671, 1191, 2564]",10,30
Albert Einstein,0.5452885230401179,"[1151, 1678, 1241, 1589]",11,16
Emile Henriot,0.794057213285385,"[851, 768, 926, 693]",12,21
Charles Thomson Rees Wilson,0.526176173300051,"[1171, 2534, 1261, 2445]",13,36
Marie Curie,0.6189843658066673,"[1161, 942, 1251, 852]",14,17
Unknown,0.0,"[1062, 802, 1151, 713]",15,-1
Paul Ehrenfest,0.507226879923023,"[902, 922, 992, 832]",16,25
Irving Langmuir,0.4636935926034015,"[1151, 325, 1241, 235]",17,23
Erwin Schrodinger,0.5043069311688724,"[853, 1668, 942, 1579]",18,33
Unknown,0.0,"[1143, 2205, 1250, 2098]",19,-1
Paul Dirac,0.4888165940156868,"[1042, 1489, 1117, 1415]",20,27
Martin Knudsen,0.5007422400277921,"[1091, 504, 1181, 414]",21,38
Max Planck,0.6999862682643929,"[1171, 633, 1261, 544]",22,5
Arthur Compton,0.6065930675850355,"[1052, 1758, 1141, 1668]",23,3
Werner Heisenberg,0.47957345197618106,"[860, 2369, 934, 2294]",24,0
Jules Emile Verschaffelt,0.9215604747213187,"[873, 1927, 962, 1837]",25,18
Auguste Piccard,0.5007003303108324,"[761, 569, 868, 462]",26,26
Edouard Herzen,0.5330612898319261,"[892, 1171, 982, 1081]",27,15
Unknown,0.0,"[918, 1440, 992, 1365]",28,-1
Paul Langevin,0.5884719319399583,"[1143, 1955, 1250, 1847]",29,19
