age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,grade
18,4,4,2,2,0,4,3,4,1,1,3,6,5,6,low
17,1,1,1,2,0,5,3,3,1,1,3,4,5,5,low
15,1,1,1,2,3,4,3,2,2,3,3,10,7,8,mid
15,4,2,1,3,0,3,2,2,1,1,5,2,15,14,high
16,3,3,1,2,0,4,3,2,1,2,5,4,6,10,mid
16,4,3,1,2,0,5,4,2,1,2,5,10,15,15,high
16,2,2,1,2,0,4,4,4,1,1,3,0,12,12,mid
17,4,4,2,2,0,4,1,4,1,1,1,6,6,5,low
15,3,2,1,2,0,4,2,2,1,1,1,0,16,18,high
15,3,4,1,2,0,5,5,1,1,1,5,0,14,15,high
15,4,4,1,2,0,3,3,3,1,2,2,0,10,8,low
15,2,1,3,3,0,5,2,2,1,1,4,4,10,12,mid
15,4,4,1,1,0,4,3,3,1,3,5,2,14,14,mid
15,4,3,2,2,0,5,4,3,1,2,3,2,10,10,mid
15,2,2,1,3,0,4,5,2,1,1,3,0,14,16,high
16,4,4,1,1,0,4,4,4,1,2,2,4,14,14,mid
16,4,4,1,3,0,3,2,3,1,2,2,6,13,14,mid
16,3,3,3,2,0,5,3,2,1,1,4,4,8,10,mid
17,3,2,1,1,3,5,5,5,2,4,5,16,6,5,low
16,4,3,1,1,0,3,1,3,1,3,5,4,8,10,mid
15,4,3,1,2,0,4,4,1,1,1,1,0,13,14,high
15,4,4,1,1,0,5,4,2,1,1,5,0,12,15,high
16,4,2,1,2,0,4,5,1,1,3,5,2,15,15,high
16,2,2,2,2,0,5,4,4,2,4,5,0,13,13,mid
15,2,4,1,3,0,4,3,2,1,1,5,2,10,9,low
16,2,2,1,1,2,1,2,2,1,3,5,14,6,9,low
15,2,2,1,1,0,4,2,2,1,2,5,2,12,12,mid
15,4,2,1,1,0,2,2,4,2,4,1,4,15,16,high
16,3,4,1,2,0,5,3,3,1,1,5,4,11,11,mid
16,4,4,1,2,0,4,4,5,5,5,5,16,10,12,mid
15,4,4,1,2,0,5,4,2,3,4,5,0,9,11,mid
15,4,4,2,2,0,4,3,1,1,1,5,0,17,16,high
15,4,3,1,2,0,4,5,2,1,1,5,0,17,16,high
15,3,3,1,2,0,5,3,2,1,1,2,0,8,10,mid
16,3,2,1,1,0,5,4,3,1,1,5,0,12,14,high
15,2,3,2,1,0,3,5,1,1,1,5,0,8,7,low
15,4,3,1,3,0,5,4,3,1,1,4,2,15,16,high
16,4,4,2,3,0,2,4,3,1,1,5,7,15,16,high
15,3,4,1,3,0,4,3,2,1,1,5,2,12,12,mid
15,2,2,1,1,0,4,3,1,1,1,2,8,14,13,mid
16,2,2,2,2,1,3,3,3,1,2,3,25,7,10,mid
15,4,4,1,1,0,5,4,3,2,4,5,8,12,12,mid
15,4,4,1,2,0,4,3,3,1,1,5,2,19,18,high
15,2,2,1,1,0,5,4,1,1,1,1,0,8,8,mid
16,2,2,2,2,1,4,3,3,2,2,5,14,10,10,low
15,4,3,1,2,0,5,2,2,1,1,5,8,8,8,low
16,3,3,1,2,0,2,3,5,1,4,3,12,11,12,mid
16,4,3,1,4,0,4,2,2,1,1,2,4,19,19,high
15,4,2,1,2,0,4,3,3,2,2,5,2,15,15,mid
15,4,4,1,2,1,4,4,4,1,1,3,2,7,7,low
16,2,2,3,2,0,4,3,3,2,3,4,2,12,13,mid
15,4,2,1,2,0,4,3,3,1,1,5,2,11,13,mid
15,4,2,2,1,1,5,5,5,3,4,5,6,11,11,mid
15,4,4,1,1,0,3,3,4,2,3,5,0,8,10,mid
15,3,3,1,1,0,5,3,4,4,4,1,6,10,13,mid
16,2,1,1,2,0,5,3,4,1,1,2,8,8,9,mid
15,4,3,1,2,0,4,3,2,1,1,1,0,14,15,high
15,4,4,1,2,0,3,2,2,1,1,5,4,14,15,high
15,1,2,1,2,0,4,3,2,1,1,5,2,9,10,low
16,4,2,1,2,0,4,2,3,1,1,5,2,15,16,high
16,4,4,1,2,0,2,4,4,2,3,4,6,10,11,mid
16,1,1,4,1,0,5,5,5,5,5,5,6,10,8,mid
16,1,2,1,2,0,4,4,3,1,1,1,4,8,10,low
16,4,3,1,3,0,3,4,4,2,4,4,2,10,9,low
15,4,3,1,2,0,4,4,4,2,4,2,0,10,10,mid
16,4,3,3,2,0,5,4,3,1,2,1,2,16,15,high
15,4,4,1,4,0,1,3,3,5,5,3,4,13,13,mid
16,3,1,1,4,0,4,3,3,1,2,5,4,7,7,low
15,2,2,2,2,0,4,1,3,1,3,4,2,8,9,low
15,3,1,2,4,0,4,4,2,2,3,3,12,16,16,high
16,3,1,2,4,0,4,3,2,1,1,5,0,13,15,high
15,4,2,1,4,0,3,3,3,1,1,3,0,10,10,mid
15,1,1,1,2,2,3,3,4,2,4,5,2,8,6,low
16,3,1,1,1,0,5,3,2,2,2,5,2,12,12,mid
16,3,3,1,2,0,4,3,3,2,4,5,54,11,12,mid
15,4,3,1,2,0,4,3,3,2,3,5,6,9,9,mid
15,4,0,2,4,0,3,4,3,1,1,1,8,11,11,mid
16,2,2,1,4,0,5,2,3,1,3,3,0,11,11,mid
17,2,1,2,1,3,4,5,1,1,1,3,2,8,8,mid
16,3,4,1,2,0,2,4,3,1,2,3,12,5,5,low
15,2,3,1,1,0,3,2,2,1,3,3,2,10,12,mid
15,2,3,1,3,0,5,3,2,1,2,5,4,11,10,mid
15,3,2,1,2,0,4,4,4,1,1,5,10,7,6,low
15,2,2,2,2,0,5,3,3,1,3,4,4,15,15,high
15,1,1,1,2,0,4,3,2,2,3,4,2,9,10,mid
15,4,4,2,2,2,4,4,4,2,3,5,6,7,9,low
16,2,2,1,2,0,4,3,4,1,2,2,4,8,7,low
15,4,2,1,3,0,5,3,3,1,3,1,4,13,14,mid
16,2,2,2,2,1,4,4,2,1,1,3,12,11,10,mid
16,4,4,1,2,0,4,1,3,3,5,5,18,8,6,low
