_PK,_ENT,_OPT,ALARMENABLED,ALARMTYPERAW,ANALYSISALGORITHMRAW,AUDIORECORDINGENABLED,AUTOMATICSESSION,GROSSMOTIONSINSESSION,ISEDITED,ISNAP,NAPTYPERAW,NUMBEROFAWAKENINGS,NUMBEROFSNOOZES,PHYSICALACTIVITYORIGIN,PRODUCEDBYAPPLEWATCH,SLEEPAIDENABLED,SLEEPTRACKINGMETHODRAW,SYNCEDTORUNKEEPER,USEDAPPLEWATCH,WAKEUPMOOD,DURATION,ENDTIME,FATIGUE,SLEEPQUALITY,SMARTWAKEUPDURATION,STARTTIME,TIMEAWAKE,TIMEAWAKEUNTILSTOPPING,TIMEINDEEPSLEEP,TIMEINLIGHTSLEEP,TIMEINREMSLEEP,TIMETOSLEEP,SOURCEID,UNIQUEIDENTIFIER,ENDTIMEBEFOREEDIT,STARTTIMEBEFOREEDIT
1.0,6.0,30.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,2024-10-24 10:37:42.663042,0.0,0.519999980926514,1800.0,2024-10-24 03:45:01.670724,900.0,-0.00226199626922607,19800.0,3600.0,480.0,900.000307917595,3.0,7.0,,
4.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2024-10-24 14:44:32.084647,0.0,0.800000011920929,0.0,2024-10-24 11:56:24.709647,960.0,0.0,1680.0,5640.0,1860.0,0.0,3.0,154.0,,
5.0,6.0,32.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,4.0,0.0,2024-10-25 11:12:08.189416,0.0,0.800000011920929,1800.0,2024-10-25 03:42:47.078242,2940.0,0.0,4680.0,11700.0,7680.0,2836.11024999619,3.0,,,
6.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2024-10-25 11:12:08.189416,0.0,0.910000026226044,0.0,2024-10-25 04:31:54.188492,0.0,0.0,5700.0,11400.0,6900.0,0.0,3.0,33.0,,
7.0,6.0,32.0,1.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,-1.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,3.0,0.0,2024-10-26 12:47:43.987943,0.0,0.860000014305115,1800.0,2024-10-26 04:25:19.875890,4200.0,0.0,5580.0,10020.0,10320.0,2263.74096012115,3.0,,,
8.0,6.0,30.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,2024-10-27 11:43:45.613095,0.0,0.439999997615814,1800.0,2024-10-27 04:38:55.612339,20700.0,-0.00275993347167969,0.0,4800.0,0.0,7200.00023198128,3.0,,,
9.0,6.0,19.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,-1.0,3.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,2024-10-28 14:44:47.413807,0.0,0.600000023841858,1800.0,2024-10-28 03:12:16.326997,11520.0,0.0,3360.0,15900.0,10800.0,3915.58368456364,3.0,1.0,751792335.859562,751777936.326997
12.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,-1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,2024-10-29 13:57:46.548962,0.0,0.469999998807907,0.0,2024-10-29 02:23:13.123858,22020.0,14079.675793767,3120.0,9540.0,7020.0,3234.02816200256,3.0,58.0,,
13.0,6.0,7.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,4.0,0.0,2024-10-29 15:06:47.830553,0.0,0.509999990463257,1800.0,2024-10-29 13:58:30.182758,2400.0,406.458063960075,840.0,900.0,0.0,1995.78139269352,3.0,,,
14.0,6.0,39.0,1.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,4.0,0.0,2024-10-30 11:40:25.724439,0.0,0.829999983310699,1800.0,2024-10-30 02:30:17.907405,5760.0,1454.9211961031,6240.0,13500.0,7440.0,3593.28791296482,3.0,56713836.0,,
15.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2024-10-30 13:30:39.347441,0.0,0.0,0.0,2024-10-30 11:49:29.601724,6060.0,0.0,0.0,0.0,0.0,0.0,3.0,,,
16.0,6.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,4.0,0.0,2024-10-30 18:34:48.464656,0.0,0.349999994039536,1800.0,2024-10-30 17:42:52.324336,2460.0,2062.73688662052,0.0,660.0,0.0,384.403433322906,3.0,665.0,752006088.464656,752002972.324336
17.0,6.0,49.0,1.0,0.0,0.0,1.0,0.0,24.0,0.0,0.0,-1.0,3.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,3.0,0.0,2024-10-31 15:55:04.016706,0.0,0.699999988079071,1800.0,2024-10-31 02:03:41.896311,10140.0,0.0,7320.0,18900.0,13560.0,8079.37408542633,3.0,14334.0,,
18.0,6.0,29.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,4.0,0.0,2024-11-01 10:30:52.559080,0.0,0.699999988079071,1800.0,2024-11-01 03:45:53.159962,3600.0,0.0,2160.0,8580.0,9900.0,1848.94866108894,3.0,91.0,752149852.55908,752125553.159962
19.0,6.0,36.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,3.0,0.0,2024-11-02 16:22:04.106689,0.0,0.899999976158142,1800.0,2024-11-02 05:41:28.890686,2880.0,0.0,12120.0,12720.0,10680.0,1191.15187847614,3.0,,752257324.106689,752218888.890686
20.0,6.0,28.0,1.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,-1.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,4.0,0.0,2024-11-03 14:48:10.894989,0.0,0.330000013113022,0.0,2024-11-03 08:23:40.370178,9840.0,7240.00717580318,2400.0,6180.0,4620.0,459.873139739037,3.0,92.0,,
21.0,6.0,33.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,3.0,0.0,2024-11-04 14:25:00.008459,0.0,0.810000002384186,0.0,2024-11-04 06:51:09.807698,4680.0,598.496065974236,4860.0,9000.0,8700.0,1586.62407159805,3.0,305.0,,
22.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2024-11-04 17:13:22.805604,0.0,0.829999983310699,0.0,2024-11-04 16:09:47.805605,0.0,0.0,1680.0,2100.0,0.0,0.0,3.0,,,
